class,Lichen location 1,Lichen location 2,Lichen location 3,Lichen location 4,Lichen location 5,Lichen location 6,Lichen location 7,Lichen location 8,Root location 1,Root location 2,Root location 3,Root location 4,Root location 5,Root location 6,Root location 7,Root location 8,Root location 9,Root location 90,Soil location 1,Soil location 2,Soil location 3,Soil location 4,Soil location 5,Soil location 6,Soil location 7,Soil location 8,Soil location 9,Soil location 90
Lecanoromycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95E-05,0,0,0,0.000466875,0,0,0,0,0,0,0,0,3.39E-05,0.000315836
Lecanoromycetes,0,0,0,0,0,0,0,0,0,3.34E-05,2.96E-05,0,0,8.76E-05,0,0,0.000163228,0.000190766,0.000485625,0,0,2.33E-05,0,0.000207452,0,0,0.000208937,0.000346801
Lecanoromycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90E-05,0,0,0,0,0,0,0,0,0,0.000187186,0,0
Sordariomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86E-05,0,0,5.65E-05,3.10E-05
Sordariomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34E-05,0.000180702,8.67E-05
Sordariomycetes,0,0,0,0,0,0,0,0,0,0,0,0,6.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sordariomycetes,0.00092702,0.004551035,0.001058753,0.006336398,0.008718998,0.000955657,0.000981949,0.003768512,6.44E-05,0,6.52E-05,6.54E-05,0.000258033,4.38E-05,5.93E-05,0,0,0,0.002016265,0.001025723,0.001499325,0.002404534,0.003847309,0.0060547,0.004192448,0.005982139,0.002597593,0.002161312
Sordariomycetes,0,0.001358762,0,0.000284326,0.000485809,0,0,0.000264457,0,0,0,0,1.61E-05,0,0,0,0,0,4.92E-05,3.69E-05,6.43E-05,6.42E-05,6.26E-05,0.00018333,0.000303591,0.001029521,0,6.81E-05
Sordariomycetes,0,0.000114594,0.000521704,4.06E-05,0,0.000262806,0.000114561,0.000198343,0,0,0,0,0,1.46E-05,0,0,0,0,0,0,0,0,0,2.41E-05,0,0,0,1.86E-05
Sordariomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72E-05
Sordariomycetes,0,0,0,0,0,0.000119457,0.001112875,0.000727257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41E-05,0.000144567,4.68E-05,0,0
Archaeorhizomycetes,0,0,0,0,0,0,0,0,0.003682631,0.010335357,0.005215062,0.002451421,0.00660671,0.00271993,0.001294534,0.001359723,0.004426139,0.006285235,0.056018982,0.0485775,0.04557235,0.034585597,0.038466832,0.036960203,0.039748742,0.056615841,0.04555388,0.049419109
Archaeorhizomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47E-05,0.002043647
Archaeorhizomycetes,0,0,0,0,0,0,0,0,0,0,5.33E-05,0,0,0,0,0,0,0,9.84E-05,0,0.000135653,0,5.00E-05,0,0,0,0,0
Archaeorhizomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000721104,0,0,0,0,0,0,0
Archaeorhizomycetes,0,0,0,0,0,0,0,0,0,0,0.002945325,0.000642817,0.000112889,0,0,0,0.005029704,0.000180726,0.001628995,0.000872172,0,0.002906451,0.004604259,0.000791212,0,0,0.023372693,0.00767916
Archaeorhizomycetes,0,0,0,0,0,0,0,0,4.60E-05,0.001623413,0.003330528,0.000152533,0.000994501,0.000311405,0,0,0,0,0.01917911,0.021835,0.035791037,0.006612467,0.010409629,0.012321676,0.000780663,0.001778263,0,0.000383958
Archaeorhizomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001985309,0,0,0,0,0,5.00E-05,0,0,0,0.001304444,0.000427308
Archaeorhizomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253908
Archaeorhizomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08E-05,2.48E-05
Archaeorhizomycetes,0,0,0,0,0,0,0,0,0,0,0.000106672,0,0,7.30E-05,0,0,0.000125268,0.000517076,0,0,0.001335113,0.001009671,9.38E-05,0.000477622,0,0.000530359,0.001400442,0.002520498
Archaeorhizomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95E-05,0,0,0,1.51E-05,0,0,0,0.000268467,0,0.001616195,0,0,0,0.000786495
Archaeorhizomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47E-05,0
Archaeorhizomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28E-05,0,0,0,0,0,0,0,0,0,0,0
Archaeorhizomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82E-05,0
Archaeorhizomycetes,0,0,0,0,0,0,0,0,0,0,0,0.000119847,0,6.81E-05,0,0,1.90E-05,0.000286149,0.000178267,7.98E-05,0.000635428,0.002445387,0.000500463,0.000207452,0,0,0.000175055,0.001715425
Archaeorhizomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91E-05
Arthoniomycetes,0,4.91E-05,7.67E-05,4.06E-05,0.000102276,0,9.82E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dothideomycetes,0,0,0,4.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46E-05,0,0,0.000192596,0.000431649,0.000202627,0,0,7.34E-05,6.81E-05
Dothideomycetes,9.27E-05,0.000212818,4.60E-05,0.000176011,7.67E-05,0,0.000130926,0.000176305,0.000101272,0,0,0,0,0,0,0,0,0,0.000295063,0.000104415,0.000171351,0.001108887,0.001526412,0.001683737,0.000961372,0.000795539,0.000931745,0.000724566
Sordariomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50E-05,5.31E-05,4.34E-05,0,0,0
Lecanoromycetes,0,0,0,0,0,0.00033448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34E-05,0,0,0
